title,date,url,day_of_week,days_to_rs,days_since_last_pr,dsl_pr_rolling_10avg
Mullen Automotive Provides Company Update,2023-05-03,https://news.mullenusa.com/mullen-automotive-provides-company-update,Wednesday,1,1.0,4.7
"Mullen Announces 1,000-Vehicle Order Received from Randy Marion Automotive Group for Class 3 EV Cab Chassis Trucks",2023-05-02,https://news.mullenusa.com/mullen-announces-1000-vehicle-order-received-from-randy-marion-automotive-group-for-class-3-ev-cab-chassis-trucks,Tuesday,2,1.0,5.4
UNC Charlotte Places Second Fleet Order for Mullen EV Cargo Vans for University Campus Use,2023-05-01,https://news.mullenusa.com/unc-charlotte-places-second-fleet-order-for-mullen-ev-cargo-vans-for-university-campus-use,Monday,3,3.0,5.2
Mullen Addresses Concerns Regarding Recent Stock Performance,2023-04-28,https://news.mullenusa.com/mullen-addresses-concerns-regarding-recent-stock-performance,Friday,6,10.0,4.3
"Mullen Automotive, Inc. Forms Mullen Advanced Energy Operations, LLC.",2023-04-18,https://news.mullenusa.com/mullen-automotive-inc.-forms-mullen-advanced-energy-operations-llc,Tuesday,16,14.0,6.1
Mullen Automotive Accelerates Implementation of Its Solid-State Polymer Battery Technology to Integrate with Class 1 EV Cargo Vans,2023-04-04,https://news.mullenusa.com/mullen-automotive-accelerates-implementation-of-its-solid-state-polymer-battery-technology-to-integrate-with-class-1-ev-cargo-vans,Tuesday,30,1.0,6.7
Menzies Completes Successful LAX Pilot Program of Mullen Class 1 EV Cargo and Passenger Vans,2023-04-03,https://news.mullenusa.com/menzies-completes-successful-lax-pilot-program-of-mullen-class-1-ev-cargo-and-passenger-vans,Monday,31,3.0,6.5
"Mullen and Randy Marion Deliver First Class 1 EV Cargo Vans to UNC Charlotte, Forthcoming Announcement of Additional Customer Class 1 Van Deliveries to Follow",2023-03-31,https://news.mullenusa.com/mullen-and-randy-marion-deliver-first-class-1-ev-cargo-vans-to-the-university-of-north-carolina-at-charlotte,Friday,34,-0.0,10.1
Mullen and Randy Marion Deliver First Class 1 EV Cargo Vans to MGT Lease Company in North Carolina,2023-03-31,https://news.mullenusa.com/mullen-and-randy-marion-deliver-first-class-1-ev-cargo-vans-to-mgt-lease-company-in-north-carolina,Friday,34,3.0,10.3
Mullen Automotive Files Lawsuit Against Intersection Media Group d/b/a dot.LA and Reporter for Damages Sustained from False Article,2023-03-28,https://news.mullenusa.com/mullen-automotive-files-lawsuit-against-intersection-media-group-d/b/a-dot.la-and-reporter-for-damages-sustained-from-false-article,Tuesday,37,8.0,9.6
"Mullen Automotive and Qiantu Motors to Launch EV Supercar Branded Mullen GT and GTRS with Program Start Commencing March 20, 2023",2023-03-20,https://news.mullenusa.com/mullen-automotive-and-qiantu-motors-to-launch-ev-supercar-branded-mullen-gt-and-gtrs-with-program-start-commencing-march-20-2023,Monday,45,4.0,9.3
Mullen CEO David Michery Releases Statement Addressing Shareholder Inquires,2023-03-16,https://news.mullenusa.com/mullen-ceo-david-michery-releases-statement-addressing-shareholder-inquires,Thursday,49,8.0,8.9
Nasdaq Approves 180-Day Extension for Mullen Automotive to Meet Minimum $1 Bid Price,2023-03-08,https://news.mullenusa.com/nasdaq-approves-180-day-extension-for-mullen-automotive-to-meet-minimum-1-bid-price,Wednesday,57,1.0,8.9
Mullen to Unveil First Two EV Commercial Products at NTEA Work Truck Show This Week,2023-03-07,https://news.mullenusa.com/mullen-to-unveil-first-two-ev-commercial-products-at-ntea-work-truck-show-this-week,Tuesday,58,1.0,9.5
Rapid Response Defense Systems Selects Mullen Automotive as the Exclusive Provider for Class 1 EV Cargo Vans,2023-03-06,https://news.mullenusa.com/rapid-response-defense-systems-selects-mullen-automotive-as-the-exclusive-provider-for-class-1-ev-cargo-vans,Monday,59,32.0,7.7
"Mullen Automotive, Loop Global and Menzies Aviation Pilot New Electric Vehicles and Charging Infrastructure at Los Angeles International Airport",2023-02-02,https://news.mullenusa.com/mullen-automotive-loop-global-and-menzies-aviation-pilot-new-electric-vehicles-and-charging-infrastructure-at-los-angeles-international-airport,Thursday,91,7.0,7.2
Mullen Announces Key Hires Across EV Programs,2023-01-26,https://news.mullenusa.com/mullen-announces-key-hires-across-ev-programs-1,Thursday,98,1.0,7.6
Mullen Announces Result of Special Meeting of Shareholders,2023-01-25,https://news.mullenusa.com/mullen-announces-result-of-special-meeting-of-shareholders,Wednesday,99,36.0,4.8
That’s a Wrap: 2022 Mullen FIVE Strikingly Different Tour Closes with Great Success,2022-12-20,https://news.mullenusa.com/thats-a-wrap-2022-mullen-five-strikingly-different-tour-closes-with-great-success,Tuesday,135,5.0,4.5
"Mullen Receives Purchase Order from Randy Marion Automotive Group for 6,000 Class 1 EV Cargo Vans",2022-12-15,https://news.mullenusa.com/mullen-automotive-receives-purchase-order-from-randy-marion-automotive-group-for-6000-class-1-ev-cargo-vans,Thursday,140,1.0,4.7
"Mullen Automotive Partners with Loop Global to Deploy EV Charging Solutions, Including a Public DC Fast Charging Network and Residential Offerings",2022-12-14,https://news.mullenusa.com/mullen-automotive-partners-with-loop-global-to-deploy-ev-charging-solutions-including-a-public-dc-fast-charging-network-and-residential-offerings,Wednesday,141,1.0,4.8
"Mullen Signs First U.S. Dealer Partner, Randy Marion Automotive Group, as Company Prepares for 3 Commercial Product Launches in 2023",2022-12-13,https://news.mullenusa.com/mullen-signs-first-u.s-dealer-partner-randy-marion-automotive-group-as-company-prepares-for-3-commercial-product-launches-in-2023,Tuesday,142,4.0,4.9
Former General Motors Federal Government Sales Leader Ronald Dixon to Lead Mullen’s EV Charge for US Government Fleet Sales,2022-12-09,https://news.mullenusa.com/former-general-motors-federal-government-sales-leader-ronald-dixon-to-lead-mullens-ev-charge-for-u.s.-government-fleet-sales2,Friday,146,1.0,5.0
Mullen Hires Donald Borthwick as Vice President of Commercial Sales; Previously Head of Western Region for Ford Commercial Sales,2022-12-08,https://news.mullenusa.com/mullen-hires-donald-borthwick-as-vice-president-of-commercial-sales-previously-head-of-western-region-for-ford-commercial-sales,Thursday,147,7.0,6.6
"Mullen Automotive Officially Closes on Acquisition of ELMS Assets, Takes Possession of Plant in Mishawaka, Ind., All Intellectual Property and Related Inventory",2022-12-01,https://news.mullenusa.com/mullen-automotive-officially-closes-on-acquisition-of-elms-assets-takes-possession-of-plant-in-mishawaka-ind.-all-intellectual-property-and-related-inventory,Thursday,154,14.0,5.7
Mullen Announces Funding to Close on ELMS Assets,2022-11-17,https://news.mullenusa.com/mullen-announces-funding-to-close-on-elms-assets,Thursday,168,2.0,6.1
Mullen ‘Strikingly Different’ EV Crossover Tour Heads to Texas After Completing a Successful Sold Out Stop in Las Vegas,2022-11-15,https://news.mullenusa.com/mullen-strikingly-different-ev-crossover-tour-heads-to-texas-after-completing-a-successful-sold-out-stop-in-las-vegas,Tuesday,170,5.0,6.2
Bollinger Motors Announces Our Next Energy as Battery Supplier for Electric Commercial Trucks,2022-11-10,https://news.mullenusa.com/bollinger-motors-announces-our-next-energy-as-battery-supplier-for-electric-commercial-trucks,Thursday,175,8.0,5.5
"Mullen Automotive Announces Elimination of Approximately $13 Million in Debt, with Less than $10 Million of Debt Remaining",2022-11-02,https://news.mullenusa.com/mullen-automotive-announces-elimination-of-approximately-13-million-in-debt-with-less-than-10-million-of-debt-remaining,Wednesday,183,2.0,5.3
Overwhelmingly Positive Reactions Pour in From First Leg of Mullen Automotive's ‘Strikingly Different’ Tour,2022-10-31,https://news.mullenusa.com/overwhelmingly-positive-reactions-pour-in-from-first-leg-of-mullen-automotives-strikingly-different-five-ev-crossover-tour,Monday,185,3.0,5.7
Pre-orders for Mullen FIVE Electric-SUV Crossover Exceed Expectations as the FIVE ‘Strikingly Different’ Tour Begins,2022-10-28,https://news.mullenusa.com/pre-orders-for-mullen-five-electric-suv-crossover-exceed-expectations-as-the-five-strikingly-different-tour-begins,Friday,188,2.0,6.2
"Mullen FIVE ‘Strikingly Different’ EV Crossover Tour Starts Tomorrow, Oct. 27, in Pasadena, California; New Los Angeles Area Stop Added",2022-10-26,https://news.mullenusa.com/mullen-five-strikingly-different-ev-crossover-tour-starts-tomorrow-oct.-27-in-pasadena-california-new-los-angeles-area-stop-added,Wednesday,190,5.0,6.0
Mullen Automotive Taps Former GM Executive John Schwegman as Chief Commercial Officer for Next Phase of EV Growth,2022-10-21,https://news.mullenusa.com/mullen-automotive-taps-former-gm-executive-john-schwegman-as-chief-commercial-officer-for-next-phase-of-ev-growth,Friday,195,2.0,7.1
"Mullen Continues Acquisition Path With Purchase of ELMS Assets Including Factory in Mishawaka, IN., Enabling EV Production for Retail and Commercial Vehicle Lines",2022-10-19,https://news.mullenusa.com/mullen-continues-acquisition-path-with-purchase-of-elms-assets-including-factory-in-mishawaka-in.-enabling-ev-production-for-retail-and-commercial-vehicle-lines,Wednesday,197,23.0,4.9
"Mullen Automotive’s ‘Strikingly Different’ Tour Kicks Off in California this October and in Nevada, November 2022",2022-09-26,https://news.mullenusa.com/mullen-automotives-strikingly-different-tour-kicks-off-in-california-this-october-and-in-nevada-november-2022,Monday,220,5.0,4.9
Bollinger Motors and Wabash Announce Joint Development to Produce Last-Mile Refrigerated Delivery Electric Truck,2022-09-21,https://news.mullenusa.com/bollinger-motors-and-wabash-announce-joint-development-to-produce-last-mile-refrigerated-delivery-electric-truck,Wednesday,225,6.0,4.4
Mullen Unveils Details on the Mullen FIVE RS High-Performance EV Sport Crossover,2022-09-15,https://news.mullenusa.com/mullen-unveils-details-on-the-mullen-five-rs-high-performance-ev-sport-crossover,Thursday,231,6.0,3.9
Mullen Automotive Responds to Shareholders Regarding Majority Acquisition of Bollinger Motors,2022-09-09,https://news.mullenusa.com/mullen-automotive-responds-to-shareholders-regarding-majority-acquisition-of-bollinger-motors,Friday,237,1.0,4.4
"Mullen Automotive and Bollinger Motors, Inc. to Discuss Acquisition on Live Webinar",2022-09-08,https://news.mullenusa.com/mullen-automotive-and-bollinger-motors-inc.-to-discuss-acquisition-on-live-webinar,Thursday,238,-0.0,4.9
"Mullen Automotive Acquires Controlling Interest in EV Truck Innovator Bollinger Motors, Inc.",2022-09-08,https://news.mullenusa.com/mullen-automotive-acquires-controlling-interest-in-ev-truck-innovator-bollinger-motors-inc,Thursday,238,7.0,5.2
Mullen Signs Partnership with Watergen to Launch Water-from-Air Solutions for EVs,2022-09-01,https://news.mullenusa.com/mullen-signs-partnership-with-watergen-to-launch-water-from-air-solutions-for-evs,Thursday,245,7.0,5.1
Mullen Announces Collaboration with Team Rosberg Engineering (TRE) for Vehicle Chassis Development,2022-08-25,https://news.mullenusa.com/mullen-announces-collaboration-with-team-rosberg-engineering-tre-for-vehicle-chassis-development,Thursday,252,3.0,5.3
Mullen to Launch First Fully Functional Demonstrator FIVE EV Crossover Vehicles in October 2022,2022-08-22,https://news.mullenusa.com/mullen-to-launch-first-fully-functional-demonstrator-five-ev-crossover-vehicles-in-october-2022,Monday,255,13.0,4.7
Mullen Automotive Announces Preliminary Third Quarter Results,2022-08-09,https://news.mullenusa.com/mullen-automotive-announces-preliminary-third-quarter-results,Tuesday,268,1.0,4.7
Mullen Announces Andre Hudson as Vice President of Design,2022-08-08,https://news.mullenusa.com/mullen-announces-andre-hudson-as-vice-president-of-design,Monday,269,5.0,4.3
Mullen Automotive Announces Addition of Detroit EV Technology Team,2022-08-03,https://news.mullenusa.com/mullen-automotive-announces-addition-of-detroit-ev-technology-team,Wednesday,274,1.0,5.7
Mullen Automotive CEO to be Featured on Upcoming Live Interview with Benzinga,2022-08-02,https://news.mullenusa.com/mullen-automotive-ceo-to-be-featured-on-upcoming-live-interview-with-benzinga,Tuesday,275,1.0,6.0
"Mullen Opens 100 Technology Drive in Irvine, California, for Automotive EV Development Center",2022-08-01,https://news.mullenusa.com/mullen-opens-100-technology-drive-in-irvine-california-for-automotive-ev-development-center,Monday,276,6.0,5.6
2022 Mullen Automotive Annual Shareholder Meeting,2022-07-26,https://news.mullenusa.com/2022-mullen-automotive-annual-shareholder-meeting,Tuesday,282,5.0,6.2
Mullen Automotive Reminds Shareholders of Upcoming Annual Meeting,2022-07-21,https://news.mullenusa.com/mullen-automotive-reminds-shareholders-of-upcoming-annual-meeting,Thursday,287,10.0,5.5
"Mullen Automotive Signs Binding Agreement with DelPack Logistics, LLC, an Amazon Delivery Services Partner, for Class 1 & 2 EV Cargo Vans",2022-07-11,https://news.mullenusa.com/mullen-automotive-signs-binding-agreement-with-delpack-logistics-llc-an-amazon-delivery-services-partner-for-class-1-2-ev-cargo-vans,Monday,297,6.0,5.0
Mullen Eliminates $17.5 Million in Company Debt,2022-07-05,https://news.mullenusa.com/mullen-eliminates-17.5-million-in-company-debt,Tuesday,303,5.0,4.8
Mullen to Report Strongest Balance Sheet in Company’s History,2022-06-30,https://news.mullenusa.com/mullen-to-report-strongest-balance-sheet-in-companys-history,Thursday,308,7.0,4.4
Mullen Automotive Issues Update to Shareholders,2022-06-23,https://news.mullenusa.com/mullen-automotive-issues-update-to-shareholders,Thursday,315,1.0,4.8
Mullen Automotive Announces Filing of U.S. and International Patent Applications for Mullen FIVE EV Crossover,2022-06-22,https://news.mullenusa.com/mullen-automotive-announces-filing-of-u.s.-and-international-patent-applications-for-mullen-five-ev-crossover,Wednesday,316,1.0,4.9
Mullen Extends Maturity of Senior Secured Convertible Note,2022-06-21,https://news.mullenusa.com/mullen-extends-maturity-of-senior-secured-convertible-note,Tuesday,317,15.0,3.5
Mullen Automotive to be Added to the Russell 2000® and 3000® Indexes,2022-06-06,https://news.mullenusa.com/mullen-automotive-to-be-added-to-the-russell-2000-and-3000-indexes,Monday,332,4.0,3.8
Mullen Automotive CEO to Be Featured on Benzinga’s ‘All Access’ Series,2022-06-02,https://news.mullenusa.com/mullen-automotive-ceo-to-be-featured-on-benzingas-all-access-series,Thursday,336,2.0,4.0
Mullen Automotive Announces Impressive Solid-State Polymer Battery Test Results,2022-05-31,https://news.mullenusa.com/mullen-automotive-announces-impressive-solid-state-polymer-battery-test-results,Tuesday,338,11.0,3.2
Mullen Announces Hiring of Richard Curtis to President of International Operations,2022-05-20,https://news.mullenusa.com/mullen-announces-hiring-of-richard-curtis-to-president-of-international-operations,Friday,349,3.0,4.3
Mullen Automotive Announces Key New Hires to Fuel Company’s Growth,2022-05-17,https://news.mullenusa.com/mullen-automotive-announces-key-new-hires-to-fuel-companys-growth,Tuesday,352,1.0,4.9
Mullen and Development Partner Take Solid-State Polymer Battery Cell Technology to the Vehicle Pack Level,2022-05-16,https://news.mullenusa.com/mullen-and-development-partner-take-solid-state-polymer-battery-cell-technology-to-the-vehicle-pack-level,Monday,353,3.0,5.0
Mullen Reports Preliminary Summary of Financial Results for Second Quarter,2022-05-13,https://news.mullenusa.com/mullen-reports-preliminary-summary-of-financial-results-for-second-quarter,Friday,356,3.0,5.4
Mullen Issues Update on Its Solid-State Polymer Battery Testing,2022-05-10,https://news.mullenusa.com/mullen-issues-update-on-its-solid-state-polymer-battery-testing,Tuesday,359,5.0,5.2
Mullen Adds High-Performance Mullen FIVE RS to Its ‘Strikingly Different’ U.S. Test Drive Tour; New 2023 Stops Announced,2022-05-05,https://news.mullenusa.com/mullen-adds-high-performance-mullen-five-rs-to-its-strikingly-different-u.s.-test-drive-tour-new-2023-stops-announced,Thursday,364,2.0,5.5
Coming to a City Near You: Mullen Announces U.S. Test Drive Tour for the Mullen FIVE EV Crossover,2022-05-03,https://news.mullenusa.com/coming-to-a-city-near-you-mullen-announces-u.s-test-drive-tour-for-the-mullen-five-ev-crossover,Tuesday,366,1.0,6.3
Mullen Automotive Files U.S. Department of Energy ATVM Loan Application for Mullen ONE EV Cargo Van Program,2022-05-02,https://news.mullenusa.com/mullen-automotive-files-u.s.-department-of-energy-atvm-loan-application-for-mullen-one-ev-cargo-van-program,Monday,367,7.0,6.0
The Buzz EV News Features Mullen Automotive in ‘What Is the Mullen FIVE & What’s Next for the EV Maker – Q&A’,2022-04-25,https://news.mullenusa.com/the-buzz-ev-news-features-mullen-automotive-in-what-is-the-mullen-five-whats-next-for-the-ev-maker-qa,Monday,374,4.0,6.3
"Mullen to Conduct Solid-State Polymer Battery Cell Testing with Leading Independent Facility, Battery Innovation Center (BIC), in Indiana",2022-04-21,https://news.mullenusa.com/mullen-to-conduct-solid-state-polymer-battery-cell-testing-with-leading-independent-facility-battery-innovation-center-bic-in-indiana,Thursday,378,3.0,6.3
"Mullen Automotive to Begin Construction for EV Battery Pack Production at High Voltage R&D Facility in Monrovia, California",2022-04-18,https://news.mullenusa.com/mullen-automotive-to-begin-construction-for-ev-battery-pack-production-at-high-voltage-rd-facility-in-monrovia-california,Monday,381,14.0,5.5
"Mullen Promotes John Taylor, Former Tesla Executive, to Global Manufacturing and Strategic Planning Head as EV Business Expands",2022-04-04,https://news.mullenusa.com/mullen-promotes-john-taylor-former-tesla-executive-to-global-manufacturing-and-strategic-planning-head-as-ev-business-expands,Monday,395,7.0,4.9
Mullen Strengthens Balance Sheet,2022-03-28,https://news.mullenusa.com/mullen-strengthens-balance-sheet,Monday,402,4.0,5.2
Leading Publication ‘Wccf Tech’ Reports Mullen Automotive Continues to Receive Strong Interest From a Growing and Devoted Group of Mullen FIVE Enthusiasts,2022-03-24,https://news.mullenusa.com/leading-publication-wccf-tech-reports-mullen-automotive-continues-to-receive-strong-interest-from-a-growing-and-devoted-group-of-mullen-five-enthusiasts,Thursday,406,7.0,6.3
Mullen Automotive Featured by Yahoo Finance Live,2022-03-17,https://news.mullenusa.com/mullen-automotive-featured-by-yahoo-finance-live,Thursday,413,3.0,6.7
"Mullen Featured on CarBuzz; The FIVE EV Crossover, Production Plans and Market Strategy Discussed",2022-03-14,https://news.mullenusa.com/mullen-featured-on-carbuzz-the-five-ev-crossover-production-plans-and-market-strategy-discussed,Monday,416,5.0,7.0
Financial Website Insider Monkey Names Mullen Automotive a Top Penny Stock to Buy in March,2022-03-09,https://news.mullenusa.com/financial-website-insider-monkey-names-mullen-automotive-a-top-penny-stock-to-buy-in-march,Wednesday,421,9.0,7.0
EV Manufacturer Mullen Announces Progress on Solid-State Polymer Battery Pack Development,2022-02-28,https://news.mullenusa.com/ev-manufacturer-mullen-announces-progress-on-solid-state-polymer-battery-pack-development,Monday,430,4.0,7.2
"Mullen Automotive Featured by WardsAuto™; Company’s Hybrid Retail Model, EVs, Manufacturing and Battery Tech Highlighted",2022-02-24,https://news.mullenusa.com/mullen-automotive-featured-by-wardsauto-companys-hybrid-retail-model-evs-manufacturing-and-battery-tech-highlighted,Thursday,434,7.0,6.6
Mullen Automotive Issues Letter to Shareholders,2022-02-17,https://news.mullenusa.com/mullen-automotive-issues-letter-to-shareholders,Thursday,441,3.0,7.3
Successful Consumer EV Market Study Reveals Mullen FIVE Scores High Against Tesla Model Y and Ford Mach-E,2022-02-14,https://news.mullenusa.com/successful-consumer-ev-market-study-reveals-mullen-five-scores-high-against-tesla-model-y-and-ford-mach-e,Monday,444,6.0,7.8
David Michery Shares Vision for Mullen Automotive on Industry Leading Podcast,2022-02-08,https://news.mullenusa.com/david-michery-shares-vision-for-mullen-automotive-on-industry-leading-podcast,Tuesday,450,1.0,8.1
Mullen Automotive Strengthens Balance Sheet,2022-02-07,https://news.mullenusa.com/mullen-automotive-strengthens-balance-sheet,Monday,451,7.0,7.5
"Mullen and Comau, a Leader in Industrial Automation, Team Up for Full-Scale Automotive Body Assembly at Mullen’s Tunica AMEC Facility",2022-01-31,https://news.mullenusa.com/mullen-and-comau-a-leader-in-industrial-automation-team-up-for-full-scale-automotive-body-assembly-at-mullens-tunica-amec-facility,Monday,458,18.0,5.9
Mullen Automotive Electric Vehicle Program Update,2022-01-13,https://news.mullenusa.com/mullen-automotive-electric-vehicle-program-update,Thursday,476,7.0,5.8
Mullen Automotive Named as a Top EV Startup to Watch Out for in 2022,2022-01-06,https://news.mullenusa.com/mullen-automotive-named-as-a-top-ev-startup-to-watch-out-for-in-2022,Thursday,483,8.0,5.0
Mullen Announces Strategic Partnership with DSA Systems for Over the Air (OTA) Technology and Vehicle System Diagnostics,2021-12-29,https://news.mullenusa.com/mullen-announces-strategic-partnership-with-dsa-systems-for-over-the-air-technology-and-vehicle-system-diagnostics,Wednesday,491,9.0,4.5
Mullen and Dürr Announce Partnership for Upcoming EV Manufacturing Footprint,2021-12-20,https://news.mullenusa.com/mullen-and-durr-announce-partnership-for-upcoming-ev-manufacturing-footprint,Monday,500,6.0,4.0
"Mullen and ARRK, a Leading German Automotive Engineering Company, Announce Partnership for Upcoming Mullen FIVE EV Crossover",2021-12-14,https://news.mullenusa.com/mullen-and-arrk-a-leading-german-automotive-engineering-company-announce-partnership-for-upcoming-mullen-five-ev-crossover,Tuesday,506,1.0,4.1
Mullen To Showcase The FIVE EV Crossover and Level 5 Autonomous Vehicle Technology at CES® (Consumer Electronic Show),2021-12-13,https://news.mullenusa.com/mullen-to-showcase-the-five-ev-crossover-and-level-5-autonomous-vehicle-technology-at-ces-consumer-electronic-show,Monday,507,10.0,3.3
Validation Process Commences for Mullen’s Class 2 EV Cargo Vans,2021-12-03,https://news.mullenusa.com/validation-process-commences-for-mullens-class-2-ev-cargo-vans,Friday,517,11.0,2.5
Mullen Announces Significant Customer Response to Debut of Mullen FIVE EV Crossover at LA Auto Show,2021-11-22,https://news.mullenusa.com/mullen-announces-significant-customer-response-to-debut-of-mullen-five-ev-crossover-at-la-auto-show,Monday,528,4.0,2.2
Mullen FIVE EV Crossover Debuts to the World and Wins ‘Top SUV’ Title at the 2021 LA Auto Show’s ZEVAS Awards,2021-11-18,https://news.mullenusa.com/mullen-five-ev-crossover-debuts-to-the-world-and-wins-top-suv-title-at-the-2021-la-auto-show-zevas-awards,Thursday,532,1.0,3.4
"Mullen to debut the FIVE EV Crossover Today, Nov. 17, 2021, at Los Angeles International Auto Show",2021-11-17,https://news.mullenusa.com/mullen-to-debut-the-five-ev-crossover-today-nov-17-2021-at-los-angeles-international-auto-show,Wednesday,533,2.0,5.5
"Mullen Automotive Announces It Now Owns Tunica, Mississippi, EV Assembly Plant Free and Clear",2021-11-15,https://news.mullenusa.com/mullen-automotive-announces-it-now-owns-tunica-mississippi-ev-assembly-plant-free-and-clear,Monday,535,6.0,10.4
Mullen Automotive Adds New Positions as Business Scales,2021-11-09,https://news.mullenusa.com/mullen-automotive-adds-new-positions-as-business-scales,Tuesday,541,-0.0,23.6
Mullen Issues Letter to Shareholders on Merger Completion,2021-11-09,https://news.mullenusa.com/mullen-issues-letter-to-shareholders-on-merger-completion,Tuesday,541,4.0,23.9
Mullen Automotive Commences Trading on NASDAQ,2021-11-05,https://news.mullenusa.com/mullen-automotive-commences-trading-on-nasdaq,Friday,545,1.0,24.1
Mullen Automotive Updates Investors on Post Merger Share Count,2021-11-04,https://news.mullenusa.com/mullen-automotive-updates-investors-on-post-merger-share-count,Thursday,546,2.0,28.5
Mullen Automotive Begins Expansion Plans for 1.2M sq. ft. of Additional EV Manufacturing Space,2021-11-02,https://news.mullenusa.com/mullen-automotive-begins-expansion-plans-for-1.2m-sq.-ft.-of-additional-ev-manufacturing-space,Tuesday,548,2.0,30.5
