date,real_outstanding_shares,rs_adjusted_os,Open,High,Low,Close,Volume,Dividends,Stock Splits,market_capitalization
2021-09-22,,424958.51612903224,207.25,218.25,203.75,210.75,6964,0.0,0.0,89560007.27419354
2021-09-23,,432691.3870967742,217.5,225.0,212.5,221.75,8408,0.0,0.0,95949315.08870968
2021-09-24,,440424.2580645161,217.0,229.75,217.0,225.75,3812,0.0,0.0,99425776.25806451
2021-09-27,,448157.12903225806,231.25,235.75,224.75,229.75,7256,0.0,0.0,102964100.39516129
2021-09-28,,455890.0,230.0,230.0,216.25,216.75,5056,0.0,0.0,98814157.5
2021-09-29,,463622.87096774194,217.25,229.25,205.0,206.75,4724,0.0,0.0,95854028.57258065
2021-09-30,,471355.7419354839,206.75,207.75,202.0,206.0,3976,0.0,0.0,97099282.83870968
2021-10-01,,479088.6129032258,209.5,210.25,201.25,205.5,5932,0.0,0.0,98452709.9516129
2021-10-04,,486821.48387096776,203.5,205.75,190.5,192.25,6396,0.0,0.0,93591430.27419356
2021-10-05,,494554.3548387097,192.5,199.0,190.75,192.5,5824,0.0,0.0,95201713.30645162
2021-10-06,,502287.22580645164,190.0,191.25,182.0,184.0,4832,0.0,0.0,92420849.5483871
2021-10-07,,510020.0967741936,185.75,201.75,184.5,197.25,3436,0.0,0.0,100601464.08870968
2021-10-08,,517752.9677419355,196.25,198.5,189.25,191.0,3436,0.0,0.0,98890816.83870968
2021-10-11,,525485.8387096775,188.0,195.5,186.75,189.25,3388,0.0,0.0,99448194.97580646
2021-10-12,,533218.7096774194,190.0,197.5,190.0,192.25,4676,0.0,0.0,102511296.93548387
2021-10-13,,540951.5806451612,192.25,201.75,191.75,201.75,2868,0.0,0.0,109136981.39516127
2021-10-14,,548684.4516129033,203.75,203.75,195.5,196.75,1444,0.0,0.0,107953665.85483871
2021-10-15,,556417.3225806451,200.25,200.25,187.5,188.5,2060,0.0,0.0,104884665.3064516
2021-10-18,,564150.1935483871,189.5,198.75,185.25,188.0,2508,0.0,0.0,106060236.38709678
2021-10-19,,571883.064516129,191.0,196.5,185.5,191.0,3604,0.0,0.0,109229665.32258064
2021-10-20,,579615.935483871,193.0,194.75,188.25,190.25,2104,0.0,0.0,110271931.72580646
2021-10-21,,587348.8064516129,189.75,195.0,186.25,186.5,1712,0.0,0.0,109540552.4032258
2021-10-22,,595081.6774193549,186.25,188.5,173.75,178.5,4592,0.0,0.0,106222079.41935486
2021-10-25,,602814.5483870967,178.5,191.5,178.5,185.5,4800,0.0,0.0,111822098.72580644
2021-10-26,,610547.4193548388,186.25,194.25,180.75,192.75,3980,0.0,0.0,117683015.08064517
2021-10-27,,618280.2903225806,199.5,211.0,196.75,200.5,9000,0.0,0.0,123965198.20967741
2021-10-28,,626013.1612903227,201.0,225.0,200.25,210.5,24960,0.0,0.0,131775770.45161292
2021-10-29,,633746.0322580645,212.75,242.0,210.75,232.25,25348,0.0,0.0,147187515.9919355
2021-11-01,,641478.9032258065,234.5,250.0,222.0,223.25,22064,0.0,0.0,143210165.1451613
2021-11-02,,649211.7741935484,223.5,293.75,214.5,277.25,158756,0.0,0.0,179993964.39516127
2021-11-03,,656944.6451612903,271.25,304.25,268.75,301.25,50680,0.0,0.0,197904574.3548387
2021-11-04,,664677.5161290322,316.75,373.75,295.5,327.25,162824,0.0,0.0,217515717.1532258
2021-11-05,,672410.3870967742,324.75,327.25,250.25,294.25,69124,0.0,0.0,197856756.4032258
2021-11-08,,680143.2580645161,294.5,299.5,244.0,256.5,51556,0.0,0.0,174456745.69354838
2021-11-09,,687876.1290322581,258.75,284.5,234.0,275.5,39808,0.0,0.0,189509873.5483871
2021-11-10,,695609.0,270.5,294.0,241.5,252.0,50364,0.0,0.0,175293468.0
2021-11-11,,703341.8709677419,255.25,343.0,245.75,316.0,121436,0.0,0.0,222256031.22580644
2021-11-12,,711074.7419354839,328.75,334.25,305.5,323.75,82744,0.0,0.0,230210447.70161292
2021-11-15,,718807.6129032258,323.75,326.75,280.0,295.5,61384,0.0,0.0,212407649.61290324
2021-11-16,,726540.4838709678,305.0,344.5,286.25,328.5,141584,0.0,0.0,238668548.95161292
2021-11-17,,734273.3548387097,360.0,397.25,297.0,304.75,225020,0.0,0.0,223769804.8870968
2021-11-18,,742006.2258064516,275.75,285.5,247.5,253.0,72292,0.0,0.0,187727575.12903225
2021-11-19,,749739.0967741936,263.0,294.75,250.0,253.5,74068,0.0,0.0,190058861.03225806
2021-11-22,,757471.9677419355,266.5,267.5,202.5,211.5,96792,0.0,0.0,160205321.17741936
2021-11-23,,765204.8387096775,208.5,235.75,206.75,217.75,38976,0.0,0.0,166623353.62903225
2021-11-24,,772937.7096774194,212.75,245.75,209.0,220.25,41716,0.0,0.0,170239530.55645162
2021-11-26,,780670.5806451613,221.25,223.75,204.25,213.5,14160,0.0,0.0,166673168.96774194
2021-11-29,,788403.4516129033,223.25,223.25,189.0,201.0,37412,0.0,0.0,158469093.77419356
2021-11-30,,796136.3225806452,200.0,206.75,188.0,198.0,20784,0.0,0.0,157634991.87096775
2021-12-01,,803869.1935483871,201.0,204.75,174.0,178.0,33076,0.0,0.0,143088716.45161292
2021-12-02,,811602.0645161291,175.0,178.0,150.0,164.75,31544,0.0,0.0,133711440.12903227
2021-12-03,,819334.935483871,171.5,177.25,157.0,165.5,30156,0.0,0.0,135599931.82258067
2021-12-06,,827067.806451613,165.5,170.75,153.75,168.5,23040,0.0,0.0,139360925.3870968
2021-12-07,,834800.6774193549,168.25,178.75,156.5,174.25,46576,0.0,0.0,145464018.0403226
2021-12-08,,842533.5483870967,175.75,187.5,172.5,177.75,26020,0.0,0.0,149760338.22580644
2021-12-09,,850266.4193548387,175.25,178.75,159.0,161.5,19400,0.0,0.0,137318026.72580644
2021-12-10,,857999.2903225806,162.25,166.5,158.0,160.25,24292,0.0,0.0,137494386.27419356
2021-12-13,,865732.1612903225,159.25,161.25,138.0,143.25,31832,0.0,0.0,124016132.1048387
2021-12-14,,873465.0322580645,143.5,152.5,136.25,138.75,43496,0.0,0.0,121193273.22580644
2021-12-15,,881197.9032258064,137.5,145.0,127.0,138.25,28168,0.0,0.0,121825610.12096773
2021-12-16,,888930.7741935484,140.0,140.25,130.5,132.0,15228,0.0,0.0,117338862.19354838
2021-12-17,,896663.6451612903,128.75,144.75,123.0,143.5,38500,0.0,0.0,128671233.08064516
2021-12-20,,904396.5161290322,136.5,141.75,127.5,134.0,20324,0.0,0.0,121189133.16129032
2021-12-21,,912129.3870967742,134.75,146.5,134.75,142.75,23740,0.0,0.0,130206470.00806451
2021-12-22,,919862.2580645161,141.75,148.75,137.75,145.75,18252,0.0,0.0,134069924.11290322
2021-12-23,,927595.1290322581,146.25,151.25,141.25,146.5,25664,0.0,0.0,135892686.4032258
2021-12-27,23383202.0,935328.0,145.25,148.25,138.0,142.75,21436,0.0,0.0,133518072.0
2021-12-28,,949339.0303030303,131.75,140.75,131.75,135.5,21884,0.0,0.0,128635438.60606061
2021-12-29,,963350.0606060605,133.25,135.75,123.75,127.25,25252,0.0,0.0,122586295.2121212
2021-12-30,,977361.0909090909,126.25,134.0,125.5,130.5,21988,0.0,0.0,127545622.36363637
2021-12-31,,991372.1212121212,130.0,136.25,124.5,130.75,20848,0.0,0.0,129621904.84848484
2022-01-03,,1005383.1515151515,131.5,146.5,131.5,145.25,16924,0.0,0.0,146031902.75757575
2022-01-04,,1019394.1818181819,145.5,146.0,133.25,140.25,9368,0.0,0.0,142970034.0
2022-01-05,,1033405.2121212122,137.5,140.5,125.0,125.75,21344,0.0,0.0,129950705.42424242
2022-01-06,,1047416.2424242424,135.0,136.25,122.25,124.75,91292,0.0,0.0,130665176.24242425
2022-01-07,,1061427.2727272727,123.25,124.75,116.25,117.5,23932,0.0,0.0,124717704.54545455
2022-01-10,,1075438.303030303,114.75,116.0,106.75,113.75,12860,0.0,0.0,122331106.96969697
2022-01-11,,1089449.3333333333,112.5,115.5,100.0,104.0,27496,0.0,0.0,113302730.66666666
2022-01-12,,1103460.3636363638,106.75,109.75,100.25,107.75,13136,0.0,0.0,118897854.1818182
2022-01-13,,1117471.393939394,104.25,108.75,101.5,102.75,17408,0.0,0.0,114820185.72727273
2022-01-14,,1131482.4242424243,101.5,104.5,95.25,100.75,14108,0.0,0.0,113996854.24242425
2022-01-18,,1145493.4545454546,98.0,100.75,92.25,92.75,13340,0.0,0.0,106244517.9090909
2022-01-19,,1159504.4848484849,93.75,96.25,88.5,93.25,11680,0.0,0.0,108123793.21212122
2022-01-20,,1173515.5151515151,93.75,99.75,91.0,92.25,8292,0.0,0.0,108256806.27272727
2022-01-21,,1187526.5454545454,91.5,94.25,85.0,85.0,11560,0.0,0.0,100939756.36363636
2022-01-24,,1201537.5757575757,81.25,85.5,75.5,85.5,11048,0.0,0.0,102731462.72727272
2022-01-25,,1215548.606060606,81.75,86.25,79.25,82.75,8788,0.0,0.0,100586647.15151514
2022-01-26,,1229559.6363636362,87.5,88.75,77.75,79.5,18336,0.0,0.0,97749991.09090908
2022-01-27,,1243570.6666666667,80.75,81.25,71.5,72.75,13340,0.0,0.0,90469766.0
2022-01-28,,1257581.696969697,72.75,73.75,68.5,71.0,18312,0.0,0.0,89288300.48484848
2022-01-31,,1271592.7272727273,72.5,81.0,71.75,80.5,15688,0.0,0.0,102363214.54545455
2022-02-01,,1285603.7575757576,83.75,93.25,81.75,89.0,19508,0.0,0.0,114418734.42424242
2022-02-02,,1299614.7878787878,90.0,91.75,74.75,76.25,14148,0.0,0.0,99095627.57575758
2022-02-03,,1313625.8181818184,74.25,74.75,67.5,68.25,15668,0.0,0.0,89654962.09090911
