title,date,url,day_of_week,days_to_rs
Former Tesla Lead for Advanced Manufacturing Group Joins Mullen Automotive as VP of EV Manufacturing.,2021-01-21,https://news.mullenusa.com/former-tesla-lead-for-advanced-manufacturing-group-joins-mullen-automotive-as-vp-of-ev-manufacturing,Thursday,833
"Mullen Technologies Receives Letter of Intent for Purchase Order of 1,500 MX-05 Electric Vehicles",2020-12-30,https://news.mullenusa.com/mullen-technologies-receives-letter-of-intent-for-purchase-order-of-1500-mx-05-electric-vehicles,Wednesday,855
NETE: Q3 2020 Revenues Improve Despite Continued Shutdowns in NY and California,2020-12-15,https://news.mullenusa.com/nete-q3-2020-revenues-improve-despite-continued-shutdowns,Tuesday,870
"NETE: Net Element Announces LOI for Reverse Merger With Mullen Technologies, Maker of EVs",2020-11-12,https://news.mullenusa.com/net-element-announces-loi-for-reverse-merger-with-mullen-technologies,Thursday,903
Mullen Technologies Building SUV facility in California,2020-11-12,https://news.mullenusa.com/mullen-technologies-building-suv-facility-in-california,Thursday,903
Mullen Technologies is Now Accepting Pre-Orders for its MX-05 Pure Electric All-Wheel Drive SUV,2020-11-01,https://news.mullenusa.com/mullen-technologies-is-now-accepting-pre-orders-for-its-mx-05-pure-electric-all-wheel-drive-suv,Sunday,914
Mullen Technologies to Begin Construction of Electric Vehicle Pilot Facility,2020-09-30,https://news.mullenusa.com/mullen-technologies-to-begin-construction-of-electric-vehicle-pilot-facility,Wednesday,946
Mullen Technologies Launches Mullen Funding Corporation for Captive Finance,2020-01-07,https://news.mullenusa.com/mullen-technologies-launches-mullen-funding-corporation-for-captive-finance,Tuesday,1213
Mullen Technologies Adds Engineering and Finance Depth as Business Scales,2019-11-20,https://news.mullenusa.com/mullen-technologies-adds-engineering-and-finance-depth-as-business-scales,Wednesday,1261
Mullen Providing Aerial Coverage and Commercials for Major NFL and NASCAR Events This Weekend,2019-09-27,https://news.mullenusa.com/mullen-providing-aerial-coverage-and-commercials-for-major-nfl-and-nascar-events-this-weekend,Friday,1315
Mullen Technologies in Washington DC Presenting EV Initiative to Congressional and Senate Committees,2019-09-26,https://news.mullenusa.com/mullen-in-washington-dc-presenting-ev-initiative-to-congressional-and-senate-committees,Thursday,1316
Mullen Technologies Purchases First Northern California Retail Location,2019-09-10,https://news.mullenusa.com/mullen-technologies-purchases-first-northern-california-retail-location,Tuesday,1332
Mullen Technologies to Make Pebble Beach Debut with K50 Electric Luxury Sports Car,2019-08-12,https://news.mullenusa.com/mullen-usa-to-make-pebble-beach-debut-with-k50-electric-luxury-sports-car,Monday,1361
The Qiantu K50 by Mullen at the 2019 New York City E-Prix,2019-07-13,https://news.mullenusa.com/qiantu-k50-by-mullen-at-the-2019-new-york-city-e-prix,Saturday,1391
Qiantu K50 by Mullen Wins Governor’s Choice Award at Balboa Bay Club Car Show,2019-06-16,https://news.mullenusa.com/qiantu-k50-by-mullen-wins-governor-choice-award-balboa-bay-club,Sunday,1418
Mullen Technologies Backing Up Successful Indy 500 With the 2019 Detroit Grand,2019-06-01,https://news.mullenusa.com/mullen-technologies-backing-up-successful-indy-500-with-the-2019-detroit-gran-prix,Saturday,1433
Mullen Technologies Indy 500 TV Ad Breaks The Internet,2019-05-27,https://news.mullenusa.com/mullen-technologies-indy-500-tv-ad,Monday,1438
Mullen Technologies Purchases Premier Dealership Location in Southern California,2019-05-17,https://news.mullenusa.com/mullen-technologies-purchases-premier-dealership-location/,Friday,1448
Mullen Technologies to Produce Qiantu K50 in Washington State,2019-04-29,https://news.mullenusa.com/mullen-technologies-qiantu-k50-washington-state,Monday,1466
Qiantu K50 by Mullen to Debut at the 2019 New York International Auto Show,2019-04-17,https://news.mullenusa.com/qiantuk50-mullen-2019-new-york-international-auto-show,Wednesday,1478
Mullen Technologies Presents the American Debut of the Qiantu K50,2019-04-03,https://news.mullenusa.com/american-debut-qiantu-k50-new-york-international-autoshow,Wednesday,1492
The “Future” of Electric Supercars Arrives in the United States,2019-03-23,https://news.mullenusa.com/future-of-electric-supercars-in-usa/,Saturday,1503
Mullen Technologies & Qiantu Motor Signed Partnership Agreement,2018-12-12,https://news.mullenusa.com/mullen-technologies-and-qiantu-motor-signed-partnership-agreement,Wednesday,1604
CarHub Now a Subsidiary of Mullen Technologies,2018-10-26,https://news.mullenusa.com/carhub-acquired-by-mullen,Friday,1651
