title,date,url,day_of_week,days_to_rs
Mullen Automotive Files Lawsuit Against Intersection Media Group d/b/a dot.LA and Reporter for Damages Sustained from False Article,2023-03-28,https://news.mullenusa.com/mullen-automotive-files-lawsuit-against-intersection-media-group-d/b/a-dot.la-and-reporter-for-damages-sustained-from-false-article,Tuesday,37
"Mullen Automotive and Qiantu Motors to Launch EV Supercar Branded Mullen GT and GTRS with Program Start Commencing March 20, 2023",2023-03-20,https://news.mullenusa.com/mullen-automotive-and-qiantu-motors-to-launch-ev-supercar-branded-mullen-gt-and-gtrs-with-program-start-commencing-march-20-2023,Monday,45
Mullen CEO David Michery Releases Statement Addressing Shareholder Inquires,2023-03-16,https://news.mullenusa.com/mullen-ceo-david-michery-releases-statement-addressing-shareholder-inquires,Thursday,49
Nasdaq Approves 180-Day Extension for Mullen Automotive to Meet Minimum $1 Bid Price,2023-03-08,https://news.mullenusa.com/nasdaq-approves-180-day-extension-for-mullen-automotive-to-meet-minimum-1-bid-price,Wednesday,57
Mullen to Unveil First Two EV Commercial Products at NTEA Work Truck Show This Week,2023-03-07,https://news.mullenusa.com/mullen-to-unveil-first-two-ev-commercial-products-at-ntea-work-truck-show-this-week,Tuesday,58
Rapid Response Defense Systems Selects Mullen Automotive as the Exclusive Provider for Class 1 EV Cargo Vans,2023-03-06,https://news.mullenusa.com/rapid-response-defense-systems-selects-mullen-automotive-as-the-exclusive-provider-for-class-1-ev-cargo-vans,Monday,59
"Mullen Automotive, Loop Global and Menzies Aviation Pilot New Electric Vehicles and Charging Infrastructure at Los Angeles International Airport",2023-02-02,https://news.mullenusa.com/mullen-automotive-loop-global-and-menzies-aviation-pilot-new-electric-vehicles-and-charging-infrastructure-at-los-angeles-international-airport,Thursday,91
Mullen Announces Key Hires Across EV Programs,2023-01-26,https://news.mullenusa.com/mullen-announces-key-hires-across-ev-programs-1,Thursday,98
Mullen Announces Result of Special Meeting of Shareholders,2023-01-25,https://news.mullenusa.com/mullen-announces-result-of-special-meeting-of-shareholders,Wednesday,99
That’s a Wrap: 2022 Mullen FIVE Strikingly Different Tour Closes with Great Success,2022-12-20,https://news.mullenusa.com/thats-a-wrap-2022-mullen-five-strikingly-different-tour-closes-with-great-success,Tuesday,135
"Mullen Receives Purchase Order from Randy Marion Automotive Group for 6,000 Class 1 EV Cargo Vans",2022-12-15,https://news.mullenusa.com/mullen-automotive-receives-purchase-order-from-randy-marion-automotive-group-for-6000-class-1-ev-cargo-vans,Thursday,140
"Mullen Automotive Partners with Loop Global to Deploy EV Charging Solutions, Including a Public DC Fast Charging Network and Residential Offerings",2022-12-14,https://news.mullenusa.com/mullen-automotive-partners-with-loop-global-to-deploy-ev-charging-solutions-including-a-public-dc-fast-charging-network-and-residential-offerings,Wednesday,141
"Mullen Signs First U.S. Dealer Partner, Randy Marion Automotive Group, as Company Prepares for 3 Commercial Product Launches in 2023",2022-12-13,https://news.mullenusa.com/mullen-signs-first-u.s-dealer-partner-randy-marion-automotive-group-as-company-prepares-for-3-commercial-product-launches-in-2023,Tuesday,142
Former General Motors Federal Government Sales Leader Ronald Dixon to Lead Mullen’s EV Charge for US Government Fleet Sales,2022-12-09,https://news.mullenusa.com/former-general-motors-federal-government-sales-leader-ronald-dixon-to-lead-mullens-ev-charge-for-u.s.-government-fleet-sales2,Friday,146
Mullen Hires Donald Borthwick as Vice President of Commercial Sales; Previously Head of Western Region for Ford Commercial Sales,2022-12-08,https://news.mullenusa.com/mullen-hires-donald-borthwick-as-vice-president-of-commercial-sales-previously-head-of-western-region-for-ford-commercial-sales,Thursday,147
"Mullen Automotive Officially Closes on Acquisition of ELMS Assets, Takes Possession of Plant in Mishawaka, Ind., All Intellectual Property and Related Inventory",2022-12-01,https://news.mullenusa.com/mullen-automotive-officially-closes-on-acquisition-of-elms-assets-takes-possession-of-plant-in-mishawaka-ind.-all-intellectual-property-and-related-inventory,Thursday,154
Mullen Announces Funding to Close on ELMS Assets,2022-11-17,https://news.mullenusa.com/mullen-announces-funding-to-close-on-elms-assets,Thursday,168
Mullen ‘Strikingly Different’ EV Crossover Tour Heads to Texas After Completing a Successful Sold Out Stop in Las Vegas,2022-11-15,https://news.mullenusa.com/mullen-strikingly-different-ev-crossover-tour-heads-to-texas-after-completing-a-successful-sold-out-stop-in-las-vegas,Tuesday,170
Bollinger Motors Announces Our Next Energy as Battery Supplier for Electric Commercial Trucks,2022-11-10,https://news.mullenusa.com/bollinger-motors-announces-our-next-energy-as-battery-supplier-for-electric-commercial-trucks,Thursday,175
"Mullen Automotive Announces Elimination of Approximately $13 Million in Debt, with Less than $10 Million of Debt Remaining",2022-11-02,https://news.mullenusa.com/mullen-automotive-announces-elimination-of-approximately-13-million-in-debt-with-less-than-10-million-of-debt-remaining,Wednesday,183
Overwhelmingly Positive Reactions Pour in From First Leg of Mullen Automotive's ‘Strikingly Different’ Tour,2022-10-31,https://news.mullenusa.com/overwhelmingly-positive-reactions-pour-in-from-first-leg-of-mullen-automotives-strikingly-different-five-ev-crossover-tour,Monday,185
Pre-orders for Mullen FIVE Electric-SUV Crossover Exceed Expectations as the FIVE ‘Strikingly Different’ Tour Begins,2022-10-28,https://news.mullenusa.com/pre-orders-for-mullen-five-electric-suv-crossover-exceed-expectations-as-the-five-strikingly-different-tour-begins,Friday,188
"Mullen FIVE ‘Strikingly Different’ EV Crossover Tour Starts Tomorrow, Oct. 27, in Pasadena, California; New Los Angeles Area Stop Added",2022-10-26,https://news.mullenusa.com/mullen-five-strikingly-different-ev-crossover-tour-starts-tomorrow-oct.-27-in-pasadena-california-new-los-angeles-area-stop-added,Wednesday,190
Mullen Automotive Taps Former GM Executive John Schwegman as Chief Commercial Officer for Next Phase of EV Growth,2022-10-21,https://news.mullenusa.com/mullen-automotive-taps-former-gm-executive-john-schwegman-as-chief-commercial-officer-for-next-phase-of-ev-growth,Friday,195
"Mullen Continues Acquisition Path With Purchase of ELMS Assets Including Factory in Mishawaka, IN., Enabling EV Production for Retail and Commercial Vehicle Lines",2022-10-19,https://news.mullenusa.com/mullen-continues-acquisition-path-with-purchase-of-elms-assets-including-factory-in-mishawaka-in.-enabling-ev-production-for-retail-and-commercial-vehicle-lines,Wednesday,197
"Mullen Automotive’s ‘Strikingly Different’ Tour Kicks Off in California this October and in Nevada, November 2022",2022-09-26,https://news.mullenusa.com/mullen-automotives-strikingly-different-tour-kicks-off-in-california-this-october-and-in-nevada-november-2022,Monday,220
Bollinger Motors and Wabash Announce Joint Development to Produce Last-Mile Refrigerated Delivery Electric Truck,2022-09-21,https://news.mullenusa.com/bollinger-motors-and-wabash-announce-joint-development-to-produce-last-mile-refrigerated-delivery-electric-truck,Wednesday,225
Mullen Unveils Details on the Mullen FIVE RS High-Performance EV Sport Crossover,2022-09-15,https://news.mullenusa.com/mullen-unveils-details-on-the-mullen-five-rs-high-performance-ev-sport-crossover,Thursday,231
Mullen Automotive Responds to Shareholders Regarding Majority Acquisition of Bollinger Motors,2022-09-09,https://news.mullenusa.com/mullen-automotive-responds-to-shareholders-regarding-majority-acquisition-of-bollinger-motors,Friday,237
"Mullen Automotive and Bollinger Motors, Inc. to Discuss Acquisition on Live Webinar",2022-09-08,https://news.mullenusa.com/mullen-automotive-and-bollinger-motors-inc.-to-discuss-acquisition-on-live-webinar,Thursday,238
"Mullen Automotive Acquires Controlling Interest in EV Truck Innovator Bollinger Motors, Inc.",2022-09-08,https://news.mullenusa.com/mullen-automotive-acquires-controlling-interest-in-ev-truck-innovator-bollinger-motors-inc,Thursday,238
Mullen Signs Partnership with Watergen to Launch Water-from-Air Solutions for EVs,2022-09-01,https://news.mullenusa.com/mullen-signs-partnership-with-watergen-to-launch-water-from-air-solutions-for-evs,Thursday,245
Mullen Announces Collaboration with Team Rosberg Engineering (TRE) for Vehicle Chassis Development,2022-08-25,https://news.mullenusa.com/mullen-announces-collaboration-with-team-rosberg-engineering-tre-for-vehicle-chassis-development,Thursday,252
Mullen to Launch First Fully Functional Demonstrator FIVE EV Crossover Vehicles in October 2022,2022-08-22,https://news.mullenusa.com/mullen-to-launch-first-fully-functional-demonstrator-five-ev-crossover-vehicles-in-october-2022,Monday,255
Mullen Automotive Announces Preliminary Third Quarter Results,2022-08-09,https://news.mullenusa.com/mullen-automotive-announces-preliminary-third-quarter-results,Tuesday,268
Mullen Announces Andre Hudson as Vice President of Design,2022-08-08,https://news.mullenusa.com/mullen-announces-andre-hudson-as-vice-president-of-design,Monday,269
